09/06/2025-08:15:37.382931  [**] [1:2060504:1] ET INFO Observed Discord Service Domain (gateway .discord .gg) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:45626 -> 162.159.130.234:443
09/06/2025-08:15:37.416851  [**] [1:2035465:4] ET INFO Observed Discord Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:61824 -> 10.42.0.1:53
09/06/2025-08:15:37.416851  [**] [1:2060503:1] ET INFO Discord Chat Service Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:61824 -> 10.42.0.1:53
09/06/2025-08:15:37.459494  [**] [1:2035463:3] ET INFO Observed Discord Domain (discord .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:53814 -> 162.159.137.232:443
09/06/2025-08:15:37.459494  [**] [1:2060505:1] ET INFO Observed Discord Service Domain (discord .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:53814 -> 162.159.137.232:443
09/06/2025-08:15:38.399628  [**] [1:2035466:4] ET INFO Observed Discord Domain in DNS Lookup (discordapp .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:56672 -> 10.42.0.1:53
09/06/2025-08:15:38.441179  [**] [1:2035464:3] ET INFO Observed Discord Domain (discordapp .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:48448 -> 162.159.133.233:443
09/06/2025-08:15:39.133861  [**] [1:2210054:1] SURICATA STREAM excessive retransmissions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 162.159.130.234:443 -> 10.42.0.214:45626
09/06/2025-08:15:42.288075  [**] [1:2035464:3] ET INFO Observed Discord Domain (discordapp .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:48460 -> 162.159.133.233:443
09/06/2025-08:15:46.909237  [**] [1:2035463:3] ET INFO Observed Discord Domain (discord .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:60082 -> 162.159.137.232:443
09/06/2025-08:15:46.909237  [**] [1:2060505:1] ET INFO Observed Discord Service Domain (discord .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:60082 -> 162.159.137.232:443
09/06/2025-08:15:52.243625  [**] [1:2035466:4] ET INFO Observed Discord Domain in DNS Lookup (discordapp .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:64293 -> 10.42.0.1:53
09/06/2025-08:15:52.287144  [**] [1:2035464:3] ET INFO Observed Discord Domain (discordapp .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:53520 -> 162.159.133.233:443
09/06/2025-08:15:52.320236  [**] [1:2035465:4] ET INFO Observed Discord Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:47017 -> 10.42.0.1:53
09/06/2025-08:15:52.320236  [**] [1:2060503:1] ET INFO Discord Chat Service Domain in DNS Lookup (discord .com) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:47017 -> 10.42.0.1:53
09/06/2025-08:15:52.361616  [**] [1:2035463:3] ET INFO Observed Discord Domain (discord .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:60098 -> 162.159.137.232:443
09/06/2025-08:15:52.361616  [**] [1:2060505:1] ET INFO Observed Discord Service Domain (discord .com) in TLS SNI [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:60098 -> 162.159.137.232:443
09/06/2025-08:18:00.259571  [**] [1:2060502:1] ET INFO Discord Chat Service Domain in DNS Lookup (gateway .discord .gg) [**] [Classification: Misc activity] [Priority: 3] {UDP} 10.42.0.214:39256 -> 10.42.0.1:53
09/06/2025-08:18:00.264720  [**] [1:2035463:3] ET INFO Observed Discord Domain (discord .com in TLS SNI) [**] [Classification: Misc activity] [Priority: 3] {TCP} 10.42.0.214:57338 -> 162.159.137.232:443
