------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:26:45 (uptime: 0d, 00h 01m 21s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
decoder.max_pkt_size                          | Total                     | 58
tcp.active_sessions                           | Total                     | 63
flow.total                                    | Total                     | 63
flow.active                                   | Total                     | 63
flow.tcp                                      | Total                     | 63
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
tcp.sessions                                  | Total                     | 63
tcp.ssn_from_pool                             | Total                     | 63
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 63
flow.mgr.flows_notimeout                      | Total                     | 63
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:27:50 (uptime: 0d, 00h 02m 26s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 151
capture.afpacket.polls                        | Total                     | 2826
capture.afpacket.poll_timeout                 | Total                     | 2680
capture.afpacket.poll_data                    | Total                     | 146
decoder.pkts                                  | Total                     | 151
decoder.bytes                                 | Total                     | 8262
decoder.ipv4                                  | Total                     | 137
decoder.ethernet                              | Total                     | 151
decoder.arp                                   | Total                     | 14
decoder.tcp                                   | Total                     | 137
tcp.syn                                       | Total                     | 69
tcp.rst                                       | Total                     | 68
decoder.avg_pkt_size                          | Total                     | 54
decoder.max_pkt_size                          | Total                     | 58
tcp.active_sessions                           | Total                     | 64
flow.total                                    | Total                     | 69
flow.active                                   | Total                     | 64
flow.tcp                                      | Total                     | 69
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
flow.wrk.flows_evicted_needs_work             | Total                     | 5
flow.wrk.flows_evicted_pkt_inject             | Total                     | 5
flow.wrk.flows_injected                       | Total                     | 5
tcp.sessions                                  | Total                     | 69
tcp.ssn_from_cache                            | Total                     | 1
tcp.ssn_from_pool                             | Total                     | 68
flow.end.state.closed                         | Total                     | 5
flow.end.tcp_state.closed                     | Total                     | 5
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 75
flow.mgr.flows_notimeout                      | Total                     | 70
flow.mgr.flows_timeout                        | Total                     | 5
flow.mgr.flows_evicted                        | Total                     | 5
flow.mgr.flows_evicted_needs_work             | Total                     | 5
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
tcp.memuse                                    | Total                     | 2490368
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 9/13/2025 -- 11:27:58 (uptime: 0d, 00h 02m 34s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 169
capture.afpacket.polls                        | Total                     | 3193
capture.afpacket.poll_timeout                 | Total                     | 3029
capture.afpacket.poll_data                    | Total                     | 164
decoder.pkts                                  | Total                     | 169
decoder.bytes                                 | Total                     | 9270
decoder.ipv4                                  | Total                     | 155
decoder.ethernet                              | Total                     | 169
decoder.arp                                   | Total                     | 14
decoder.tcp                                   | Total                     | 155
tcp.syn                                       | Total                     | 78
tcp.rst                                       | Total                     | 77
decoder.avg_pkt_size                          | Total                     | 54
decoder.max_pkt_size                          | Total                     | 58
tcp.active_sessions                           | Total                     | 64
flow.total                                    | Total                     | 78
flow.active                                   | Total                     | 64
flow.tcp                                      | Total                     | 78
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 4
flow.wrk.flows_evicted_needs_work             | Total                     | 14
flow.wrk.flows_evicted_pkt_inject             | Total                     | 14
flow.wrk.flows_injected                       | Total                     | 14
tcp.sessions                                  | Total                     | 78
tcp.ssn_from_cache                            | Total                     | 8
tcp.ssn_from_pool                             | Total                     | 70
flow.end.state.closed                         | Total                     | 14
flow.end.tcp_state.closed                     | Total                     | 14
flow.mgr.full_hash_pass                       | Total                     | 7
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 92
